"RG","TG"
"PIM2_AKT3","PIM2","AKT3"
"MPO_AKT3","MPO","AKT3"
"CSF2_AKT3","CSF2","AKT3"
"IL3_AKT3","IL3","AKT3"
"RUNX1T1_AKT3","RUNX1T1","AKT3"
"PML_AKT3","PML","AKT3"
"RARA_AKT3","RARA","AKT3"
"ZBTB16_AKT3","ZBTB16","AKT3"
"PER2_AKT3","PER2","AKT3"
"SPI1_AKT3","SPI1","AKT3"
"CD14_AKT3","CD14","AKT3"
"BCL2A1_AKT3","BCL2A1","AKT3"
"CCNA2_AKT3","CCNA2","AKT3"
"CCNA1_AKT3","CCNA1","AKT3"
"MYC_AKT3","MYC","AKT3"
"JUP_AKT3","JUP","AKT3"
"TCF7_AKT3","TCF7","AKT3"
"LEF1_AKT3","LEF1","AKT3"
"CCND1_AKT3","CCND1","AKT3"
"PPARD_AKT3","PPARD","AKT3"
"KIT_CHUK","KIT","CHUK"
"FLT3_CHUK","FLT3","CHUK"
"PIK3CB_CHUK","PIK3CB","CHUK"
